1525209672129:1525209729094:80it / 100ms [Secure][2 th]:19,818181818181817:16,0:1:4,102355881366035:46,940327882912136:9062,066218783997
1525209729095:1525209764792:80it / 100ms [Secure][2 th]:8,25:15,333333333333334:0:6,226857115365272:46,88076483112911:13060,998801937205
1525209764793:1525209820634:80it / 100ms [Secure][2 th]:10,666666666666666:0,0:1:4,832740458861831:46,93145108395988:9491,881440851637
1525209820635:1525209854862:80it / 100ms [Secure][2 th]:15,0:15,0:0:9,369776118393474:47,07176973153316:17284,278720950704
1525209854862:1525209908645:80it / 100ms [Secure][2 th]:9,11111111111111:0,0:1:4,817519358945788:47,11226950573798:9602,703267941215
1525209908645:1525209948061:80it / 100ms [Secure][2 th]:8,5:8,5:0:5,76710258115051:47,06868848113079:13550,482217268891
1525209948062:1525209998380:80it / 100ms [Secure][2 th]:8,333333333333334:16,0:0:4,582129736351199:46,79361100885869:10392,976120486741
1525209998381:1525210038540:80it / 100ms [Secure][2 th]:1,3333333333333333:16,0:1:5,647978453013656:46,86502781565419:12208,607702103445
1525210038541:1525210065720:80it / 100ms [Secure][2 th]:10,833333333333334:0,0:0:6,622504750957647:46,957958160829406:16188,24710238663
1525210065721:1525210114554:80it / 100ms [Secure][2 th]:6,5:11,0:0:5,683994393057086:47,01002972981441:10306,699858288966
1525210215470:1525210371923:200it / 40ms [Secure][2 th]:13,571428571428571:12,125:0:4,44448612241178:47,14645761437542:8667,739369073606
1525210371924:1525210493530:200it / 40ms [Secure][2 th]:9,705882352941176:1,0:0:4,942697818413324:47,263589408947446:10689,687456222311
1525210493531:1525210603709:200it / 40ms [Secure][2 th]:13,666666666666666:11,571428571428571:0:5,12730865654221:47,48436090118013:11371,717106391996
1525210603710:1525210681452:200it / 40ms [Secure][2 th]:11,733333333333333:4,75:0:6,495985969577617:47,58703899185279:15196,441742673504
1525210681454:1525210795434:200it / 40ms [Secure][2 th]:9,416666666666666:13,0:1:4,745376627023982:47,7040790955566:10893,915065136862
1525210795436:1525210917903:200it / 40ms [Secure][2 th]:11,714285714285714:15,6:4:5,50877700588952:48,30921686245611:13039,338265772145
1525210917905:1525211020343:200it / 40ms [Secure][2 th]:8,166666666666666:11,428571428571429:1:6,666703155629904:48,73575733535992:14624,963204896292
1525211020343:1525211137054:200it / 40ms [Secure][2 th]:10,0:12,8:1:5,9242503534268485:48,878586402152514:12817,614888083948
1525211137055:1525211209945:200it / 40ms [Secure][2 th]:8,416666666666666:12,0:0:7,953369455264241:48,54444859567255:16150,280811269833
1525211209946:1525211297818:200it / 40ms [Secure][2 th]:5,181818181818182:11,285714285714286:0:6,286908394465667:48,342852988847014:14109,064948348981
1525211558287:1525211707900:400it / 20ms [Secure][2 th]:6,222222222222222:11,636363636363637:136:7,2554636138496145:49,16403017092047:31455,66460532252
1525211707901:1525211862353:400it / 20ms [Secure][2 th]:11,4:12,5:91:7,506257774906488:49,12266161430089:32387,341582784687
1525211862355:1525212047355:400it / 20ms [Secure][2 th]:12,235294117647058:13,5:125:6,485553973963571:49,184079613862636:30065,084012988587
1525212047356:1525212241924:400it / 20ms [Secure][2 th]:11,61111111111111:14,0:127:9,199657443223323:50,19351332752966:63229,7835115343
1525212241925:1525212381907:400it / 20ms [Secure][2 th]:14,615384615384615:15,833333333333334:113:11,522829355295366:50,83382937577676:75038,94054115363
1525212381907:1525212547095:400it / 20ms [Secure][2 th]:11,411764705882353:14,0:98:9,787392426297936:51,772360581088634:81759,46858690989
1525212547111:1525212726268:400it / 20ms [Secure][2 th]:11,48:7,818181818181818:109:11,741746726383358:51,636212317760645:34734,85638503325
1525212726269:1525212923966:400it / 20ms [Secure][2 th]:14,4:10,833333333333334:92:10,219123931220969:51,77769864327889:13266,619089768812
1525212923968:1525213091043:400it / 20ms [Secure][2 th]:13,636363636363637:12,0:125:11,3863988337901:50,60144719803696:15635,968708876684
1525213091058:1525213276021:400it / 20ms [Secure][2 th]:14,733333333333333:16,0:114:10,842052775127248:50,53478718401629:15190,404727069754
1525213536338:1525213575456:80it / 100ms [Secure][1 th]:17,857142857142858:21,0:39:11,65489765509255:51,225092368282674:197676,69349594982
1525213575456:1525213614933:80it / 100ms [Secure][1 th]:8,5:0,0:30:10,061234230720016:50,88086683974359:30177,060447783348
1525213614933:1525213653031:80it / 100ms [Secure][1 th]:15,25:0,0:32:10,425659845814144:50,768653872804826:211674,6349779577
1525213653031:1525213696734:80it / 100ms [Secure][1 th]:16,0:0,0:27:7,791948917499551:51,02570252706419:19617,586803571856
1525213696734:1525213736631:80it / 100ms [Secure][1 th]:15,5:0,0:47:5,6464384348106575:50,68270756995368:10948,324254879113
1525213736631:1525213767021:80it / 100ms [Secure][1 th]:9,8:8,5:26:8,21753074996401:50,60972674245751:16141,154743340203
1525213767021:1525213796011:80it / 100ms [Secure][1 th]:15,0:15,0:33:8,80872139923071:50,58307377594964:18735,52815738605
1525213796011:1525213842056:80it / 100ms [Secure][1 th]:16,0:0,0:42:6,592934643724282:50,59672911138927:10895,552310036304
1525213842056:1525213879044:80it / 100ms [Secure][1 th]:15,666666666666666:16,0:38:6,887996015862237:50,61540344675128:12166,116115433955
1525213879044:1525213916447:80it / 100ms [Secure][1 th]:15,0:0,0:28:6,758364680897694:50,74264810129522:12799,429485640372
1525213953209:1525214035462:200it / 40ms [Secure][1 th]:17,444444444444443:17,333333333333332:45:7,764439273237332:50,75862822112141:15295,515113107229
1525214035462:1525214110556:200it / 40ms [Secure][1 th]:11,333333333333334:10,833333333333334:64:7,694855296124587:52,18162369763362:15074,441691878415
1525214110556:1525214188979:200it / 40ms [Secure][1 th]:10,833333333333334:15,0:69:7,812927622348893:51,05651590896246:15661,89507151518
1525214188995:1525214299037:200it / 40ms [Secure][1 th]:14,363636363636363:15,571428571428571:53:6,19183536322743:51,12538630187891:10888,390512853746
1525214299037:1525214381409:200it / 40ms [Secure][1 th]:15,5:15,0:72:7,334052286196143:50,60562790078921:70453,43119305588
1525214381409:1525214466690:200it / 40ms [Secure][1 th]:13,090909090909092:16,0:64:6,6282170340549165:50,6425267526568:13617,921745896117
1525214466690:1525214560712:200it / 40ms [Secure][1 th]:12,8:15,75:38:6,102347931077964:50,749391630129566:12701,769752852091
1525209672129:1525209729094:80it / 100ms [Secure][2 th]:19,818181818181817:16,0:1:4,102355881366035:46,940327882912136:9062,066218783997
1525209729095:1525209764792:80it / 100ms [Secure][2 th]:8,25:15,333333333333334:0:6,226857115365272:46,88076483112911:13060,998801937205
1525209764793:1525209820634:80it / 100ms [Secure][2 th]:10,666666666666666:0,0:1:4,832740458861831:46,93145108395988:9491,881440851637
1525209820635:1525209854862:80it / 100ms [Secure][2 th]:15,0:15,0:0:9,369776118393474:47,07176973153316:17284,278720950704
1525209854862:1525209908645:80it / 100ms [Secure][2 th]:9,11111111111111:0,0:1:4,817519358945788:47,11226950573798:9602,703267941215
1525209908645:1525209948061:80it / 100ms [Secure][2 th]:8,5:8,5:0:5,76710258115051:47,06868848113079:13550,482217268891
1525209948062:1525209998380:80it / 100ms [Secure][2 th]:8,333333333333334:16,0:0:4,582129736351199:46,79361100885869:10392,976120486741
1525209998381:1525210038540:80it / 100ms [Secure][2 th]:1,3333333333333333:16,0:1:5,647978453013656:46,86502781565419:12208,607702103445
1525210038541:1525210065720:80it / 100ms [Secure][2 th]:10,833333333333334:0,0:0:6,622504750957647:46,957958160829406:16188,24710238663
1525210065721:1525210114554:80it / 100ms [Secure][2 th]:6,5:11,0:0:5,683994393057086:47,01002972981441:10306,699858288966
1525210215470:1525210371923:200it / 40ms [Secure][2 th]:13,571428571428571:12,125:0:4,44448612241178:47,14645761437542:8667,739369073606
1525210371924:1525210493530:200it / 40ms [Secure][2 th]:9,705882352941176:1,0:0:4,942697818413324:47,263589408947446:10689,687456222311
1525210493531:1525210603709:200it / 40ms [Secure][2 th]:13,666666666666666:11,571428571428571:0:5,12730865654221:47,48436090118013:11371,717106391996
1525210603710:1525210681452:200it / 40ms [Secure][2 th]:11,733333333333333:4,75:0:6,495985969577617:47,58703899185279:15196,441742673504
1525210681454:1525210795434:200it / 40ms [Secure][2 th]:9,416666666666666:13,0:1:4,745376627023982:47,7040790955566:10893,915065136862
1525210795436:1525210917903:200it / 40ms [Secure][2 th]:11,714285714285714:15,6:4:5,50877700588952:48,30921686245611:13039,338265772145
1525210917905:1525211020343:200it / 40ms [Secure][2 th]:8,166666666666666:11,428571428571429:1:6,666703155629904:48,73575733535992:14624,963204896292
1525211020343:1525211137054:200it / 40ms [Secure][2 th]:10,0:12,8:1:5,9242503534268485:48,878586402152514:12817,614888083948
1525211137055:1525211209945:200it / 40ms [Secure][2 th]:8,416666666666666:12,0:0:7,953369455264241:48,54444859567255:16150,280811269833
1525211209946:1525211297818:200it / 40ms [Secure][2 th]:5,181818181818182:11,285714285714286:0:6,286908394465667:48,342852988847014:14109,064948348981
1525211558287:1525211707900:400it / 20ms [Secure][2 th]:6,222222222222222:11,636363636363637:136:7,2554636138496145:49,16403017092047:31455,66460532252
1525211707901:1525211862353:400it / 20ms [Secure][2 th]:11,4:12,5:91:7,506257774906488:49,12266161430089:32387,341582784687
1525211862355:1525212047355:400it / 20ms [Secure][2 th]:12,235294117647058:13,5:125:6,485553973963571:49,184079613862636:30065,084012988587
1525212047356:1525212241924:400it / 20ms [Secure][2 th]:11,61111111111111:14,0:127:9,199657443223323:50,19351332752966:63229,7835115343
1525212241925:1525212381907:400it / 20ms [Secure][2 th]:14,615384615384615:15,833333333333334:113:11,522829355295366:50,83382937577676:75038,94054115363
1525212381907:1525212547095:400it / 20ms [Secure][2 th]:11,411764705882353:14,0:98:9,787392426297936:51,772360581088634:81759,46858690989
1525212547111:1525212726268:400it / 20ms [Secure][2 th]:11,48:7,818181818181818:109:11,741746726383358:51,636212317760645:34734,85638503325
1525212726269:1525212923966:400it / 20ms [Secure][2 th]:14,4:10,833333333333334:92:10,219123931220969:51,77769864327889:13266,619089768812
1525212923968:1525213091043:400it / 20ms [Secure][2 th]:13,636363636363637:12,0:125:11,3863988337901:50,60144719803696:15635,968708876684
1525213091058:1525213276021:400it / 20ms [Secure][2 th]:14,733333333333333:16,0:114:10,842052775127248:50,53478718401629:15190,404727069754
1525213536338:1525213575456:80it / 100ms [Secure][1 th]:17,857142857142858:21,0:39:11,65489765509255:51,225092368282674:197676,69349594982
1525213575456:1525213614933:80it / 100ms [Secure][1 th]:8,5:0,0:30:10,061234230720016:50,88086683974359:30177,060447783348
1525213614933:1525213653031:80it / 100ms [Secure][1 th]:15,25:0,0:32:10,425659845814144:50,768653872804826:211674,6349779577
1525213653031:1525213696734:80it / 100ms [Secure][1 th]:16,0:0,0:27:7,791948917499551:51,02570252706419:19617,586803571856
1525213696734:1525213736631:80it / 100ms [Secure][1 th]:15,5:0,0:47:5,6464384348106575:50,68270756995368:10948,324254879113
1525213736631:1525213767021:80it / 100ms [Secure][1 th]:9,8:8,5:26:8,21753074996401:50,60972674245751:16141,154743340203
1525213767021:1525213796011:80it / 100ms [Secure][1 th]:15,0:15,0:33:8,80872139923071:50,58307377594964:18735,52815738605
1525213796011:1525213842056:80it / 100ms [Secure][1 th]:16,0:0,0:42:6,592934643724282:50,59672911138927:10895,552310036304
1525213842056:1525213879044:80it / 100ms [Secure][1 th]:15,666666666666666:16,0:38:6,887996015862237:50,61540344675128:12166,116115433955
1525213879044:1525213916447:80it / 100ms [Secure][1 th]:15,0:0,0:28:6,758364680897694:50,74264810129522:12799,429485640372
1525213953209:1525214035462:200it / 40ms [Secure][1 th]:17,444444444444443:17,333333333333332:45:7,764439273237332:50,75862822112141:15295,515113107229
1525214035462:1525214110556:200it / 40ms [Secure][1 th]:11,333333333333334:10,833333333333334:64:7,694855296124587:52,18162369763362:15074,441691878415
1525214110556:1525214188979:200it / 40ms [Secure][1 th]:10,833333333333334:15,0:69:7,812927622348893:51,05651590896246:15661,89507151518
1525214188995:1525214299037:200it / 40ms [Secure][1 th]:14,363636363636363:15,571428571428571:53:6,19183536322743:51,12538630187891:10888,390512853746
1525214299037:1525214381409:200it / 40ms [Secure][1 th]:15,5:15,0:72:7,334052286196143:50,60562790078921:70453,43119305588
1525214381409:1525214466690:200it / 40ms [Secure][1 th]:13,090909090909092:16,0:64:6,6282170340549165:50,6425267526568:13617,921745896117
1525214466690:1525214560712:200it / 40ms [Secure][1 th]:12,8:15,75:38:6,102347931077964:50,749391630129566:12701,769752852091
1525214560728:1525214629763:200it / 40ms [Secure][1 th]:3,3333333333333335:1,0:69:7,0413094963498555:50,89787361992211:16515,141219476496
1525214629763:1525214705588:200it / 40ms [Secure][1 th]:15,666666666666666:15,5:49:6,452553272529574:51,07668438418348:15534,714376512848
1525214705604:1525214782300:200it / 40ms [Secure][1 th]:15,5:15,666666666666666:70:6,456765610064565:51,02983591754332:15365,80127365037
1525214839770:1525215016695:400it / 20ms [Secure][1 th]:15,689655172413794:16,0:134:5,5898102370325295:51,029016335384505:13214,703999910435
1525215016695:1525215205383:400it / 20ms [Secure][1 th]:15,533333333333333:14,083333333333334:120:5,666178879139009:51,29509864684794:34581,012265128804
1525215205383:1525215400962:400it / 20ms [Secure][1 th]:12,125:11,916666666666666:98:6,893318648227948:52,473805197792075:49811,787245483036
1525215400978:1525215585528:400it / 20ms [Secure][1 th]:14,833333333333334:15,428571428571429:103:6,370274027566194:55,380537136691196:15209,43919957595
1525215585528:1525215788432:400it / 20ms [Secure][1 th]:12,176470588235293:11,571428571428571:93:7,05142669656056:54,706811875322224:38938,82638514516
1525215788432:1525216037796:400it / 20ms [Secure][1 th]:13,75:15,5:125:5,843867332645181:55,06193292015889:22631,962934941243
1525216037796:1525216210108:400it / 20ms [Secure][1 th]:14,416666666666666:15,5:109:11,695564200592665:57,81989782104232:13987,845665994662
1525216210123:1525216385789:400it / 20ms [Secure][1 th]:9,666666666666666:15,6:117:5,8340829976246384:57,20827968420121:13395,612701384987
1525216385804:1525216572783:400it / 20ms [Secure][1 th]:13,2:12,333333333333334:87:5,6597596930142515:57,33256695114903:12883,386423221627
1525216572783:1525216882125:400it / 20ms [Secure][1 th]:12,0:12,25:121:3,948525289041108:57,56332226040846:8483,430005385191
1525229565849:1525229592354:80it / 100ms [Secure][8 th]:4,5625:55,5:78:8,63625263988065:52,30258283026111:17732,376293758098
1525229592362:1525229618975:80it / 100ms [Secure][8 th]:2,491228070175439:1,0:73:7,15053387544524:52,049882127485176:15527,968752297236
1525229618981:1525229648355:80it / 100ms [Secure][8 th]:1,9245283018867925:1,3333333333333333:74:7,805247291883186:52,42069530357158:16421,834236446077
1525229648360:1525229672601:80it / 100ms [Secure][8 th]:2,4310344827586206:1,0:79:7,410480309371127:52,259839959192675:18453,770464078534
1525229672609:1525229699098:80it / 100ms [Secure][8 th]:1,3454545454545455:1,0:74:6,87408239823777:52,21201187887646:15968,811678694588
1525229699103:1525229735685:80it / 100ms [Secure][8 th]:1,9487179487179487:1,0:67:5,603151272663014:52,18888574602445:14009,146605191912
1525229735690:1525229761977:80it / 100ms [Secure][8 th]:1,2363636363636363:1,0:78:7,365509737160931:52,10651126739254:15616,422289822298
1525229761983:1525229789207:80it / 100ms [Secure][8 th]:2,5185185185185186:1,0:79:6,8604392532770655:52,14453246993317:16664,06147057071
1525229789213:1525229818014:80it / 100ms [Secure][8 th]:1,7115384615384615:1,0:78:6,855718900538269:52,11057320952678:17400,01379567623
1525229818023:1525229986674:80it / 100ms [Secure][8 th]:1,4761904761904763:1,0:41:3,058652734010527:52,17849762504087:7577,587621996425
1525230533108:1525230581211:200it / 40ms [Secure][8 th]:2,1146496815286624:4,8:182:8,584730399492315:53,674398652105054:23190,997038328413
1525230581217:1525230952241:200it / 40ms [Secure][8 th]:1,8203125:1,0:180:3,539053106103043:53,86453102639231:5775,613407415704
1525231295473:1525231431849:200it / 40ms [Secure][8 th]:28,8:13,666666666666666:169:5,107860277049563:45,24346668460354:10980,411156694694
1525231431849:1525231574753:200it / 40ms [Secure][8 th]:19,8:8,5:174:4,7136870117970915:45,74187273244466:10171,411168099738
1525231574753:1525231712247:200it / 40ms [Secure][8 th]:11,11111111111111:1,0:170:4,199735090589947:46,18480636959852:9644,187446409418
1525231712247:1525231828691:200it / 40ms [Secure][8 th]:3,6666666666666665:12,0:149:5,64624511232689:46,40276711571159:11221,152503030295
1525231828691:1525231893841:200it / 40ms [Secure][8 th]:10,88888888888889:0,0:172:7,980226593140899:46,60151635307066:17927,629289077544
1525231893841:1525231964127:200it / 40ms [Secure][8 th]:17,727272727272727:11,0:153:7,119141657875691:46,722445988585875:16135,676465631135
1525231964127:1525232041406:200it / 40ms [Secure][8 th]:2,4545454545454546:1,0:160:6,770870050686363:46,68040166927815:18111,33226040037
1525232041411:1525232108541:200it / 40ms [Secure][8 th]:11,409090909090908:0,0:175:6,982951836524081:46,6753747249135:16225,81870262345
1525232168695:1525232321780:400it / 20ms [Secure][8 th]:16,14:52,0:308:8,27518538702791:47,22191668545451:75740,53187410746
1525232321780:1525232475908:400it / 20ms [Secure][8 th]:23,083333333333332:15,333333333333334:286:8,055450696988562:48,41263881868722:74566,93233580833
1525232475926:1525232624964:400it / 20ms [Secure][8 th]:16,333333333333332:8,25:303:7,084253768753589:45,589859400483505:28645,604979390377
1525232624964:1525232786098:400it / 20ms [Secure][8 th]:21,761904761904763:9,4:260:6,883770382462503:42,443658568988155:21549,686679667266
1525232786098:1525232978024:400it / 20ms [Secure][8 th]:17,4:16,0:283:5,761542229141109:42,58877398445844:36747,38288560827
1525232978024:1525233122716:400it / 20ms [Secure][8 th]:8,333333333333334:0,0:301:6,0028708555985855:42,66183189521171:16590,63485007426
1525233122716:1525233283098:400it / 20ms [Secure][8 th]:14,176470588235293:11,0:287:5,333507147332099:42,523124366226746:13886,540277172879
1525233283098:1525233421716:400it / 20ms [Secure][8 th]:12,894736842105264:11,75:310:12,05090744700352:42,67539695591827:16624,950363324002
1525233611775:1525233758976:400it / 20ms [Secure][8 th]:5,728971962616822:1,2769230769230768:279:6,825808117194456:42,48700148106937:15965,019079021473
1525233758976:1525233909919:400it / 20ms [Secure][8 th]:6,75:1,0:269:11,890309289820166:42,44099249046953:14981,803479776927
